Kommune;Region;fuldt_navn;Type
Albertslund;Region Hovedstaden;Albertslund Kommune;Kommune
Allerød;Region Hovedstaden;Allerød Kommune;Kommune
Ballerup;Region Hovedstaden;Ballerup Kommune;Kommune
Bornholm;Region Hovedstaden;Bornholm Kommune;Kommune
Brøndby;Region Hovedstaden;Brøndby Kommune;Kommune
Dragør;Region Hovedstaden;Dragør Kommune;Kommune
Egedal;Region Hovedstaden;Egedal Kommune;Kommune
Fredensborg;Region Hovedstaden;Fredensborg Kommune;Kommune
Frederiksberg;Region Hovedstaden;Frederiksberg Kommune;Kommune
Frederikssund;Region Hovedstaden;Frederikssund Kommune;Kommune
Furesø;Region Hovedstaden;Furesø Kommune;Kommune
Gentofte;Region Hovedstaden;Gentofte Kommune;Kommune
Gladsaxe;Region Hovedstaden;Gladsaxe Kommune;Kommune
Glostrup;Region Hovedstaden;Glostrup Kommune;Kommune
Gribskov;Region Hovedstaden;Gribskov Kommune;Kommune
Halsnæs;Region Hovedstaden;Halsnæs Kommune;Kommune
Helsingør;Region Hovedstaden;Helsingør Kommune;Kommune
Herlev;Region Hovedstaden;Herlev Kommune;Kommune
Hillerød;Region Hovedstaden;Hillerød Kommune;Kommune
Hvidovre;Region Hovedstaden;Hvidovre Kommune;Kommune
Høje-Taastrup;Region Hovedstaden;Høje-Taastrup Kommune;Kommune
Hørsholm;Region Hovedstaden;Hørsholm Kommune;Kommune
Ishøj;Region Hovedstaden;Ishøj Kommune;Kommune
København;Region Hovedstaden;Københavns Kommune;Kommune
Lyngby-Taarbæk;Region Hovedstaden;Lyngby-Taarbæk Kommune;Kommune
Rudersdal;Region Hovedstaden;Rudersdal Kommune;Kommune
Rødovre;Region Hovedstaden;Rødovre Kommune;Kommune
Tårnby;Region Hovedstaden;Tårnby Kommune;Kommune
Vallensbæk;Region Hovedstaden;Vallensbæk Kommune;Kommune
Favrskov;Region Midtjylland;Favrskov Kommune;Kommune
Hedensted;Region Midtjylland;Hedensted Kommune;Kommune
Herning;Region Midtjylland;Herning Kommune;Kommune
Holstebro;Region Midtjylland;Holstebro Kommune;Kommune
Horsens;Region Midtjylland;Horsens Kommune;Kommune
Ikast-Brande;Region Midtjylland;Ikast-Brande Kommune;Kommune
Lemvig;Region Midtjylland;Lemvig Kommune;Kommune
Norddjurs;Region Midtjylland;Norddjurs Kommune;Kommune
Odder;Region Midtjylland;Odder Kommune;Kommune
Randers;Region Midtjylland;Randers Kommune;Kommune
Ringkøbing-Skjern;Region Midtjylland;Ringkøbing-Skjern Kommune;Kommune
Samsø;Region Midtjylland;Samsø Kommune;Kommune
Silkeborg;Region Midtjylland;Silkeborg Kommune;Kommune
Skanderborg;Region Midtjylland;Skanderborg Kommune;Kommune
Skive;Region Midtjylland;Skive Kommune;Kommune
Struer;Region Midtjylland;Struer Kommune;Kommune
Syddjurs;Region Midtjylland;Syddjurs Kommune;Kommune
Viborg;Region Midtjylland;Viborg Kommune;Kommune
Århus;Region Midtjylland;Aarhus Kommune;Kommune
Brønderslev;Region Nordjylland;Brønderslev Kommune;Kommune
Frederikshavn;Region Nordjylland;Frederikshavn Kommune;Kommune
Hjørring;Region Nordjylland;Hjørring Kommune;Kommune
Jammerbugt;Region Nordjylland;Jammerbugt Kommune;Kommune
Læsø;Region Nordjylland;Læsø Kommune;Kommune
Mariagerfjord;Region Nordjylland;Mariagerfjord Kommune;Kommune
Morsø;Region Nordjylland;Morsø Kommune;Kommune
Rebild;Region Nordjylland;Rebild Kommune;Kommune
Thisted;Region Nordjylland;Thisted Kommune;Kommune
Vesthimmerlands;Region Nordjylland;Vesthimmerlands Kommune;Kommune
Ålborg;Region Nordjylland;Aalborg Kommune;Kommune
Faxe;Region Sjælland;Faxe Kommune;Kommune
Greve;Region Sjælland;Greve Kommune;Kommune
Guldborgsund;Region Sjælland;Guldborgsund Kommune;Kommune
Holbæk;Region Sjælland;Holbæk Kommune;Kommune
Kalundborg;Region Sjælland;Kalundborg Kommune;Kommune
Køge;Region Sjælland;Køge Kommune;Kommune
Lejre;Region Sjælland;Lejre Kommune;Kommune
Lolland;Region Sjælland;Lolland Kommune;Kommune
Næstved;Region Sjælland;Næstved Kommune;Kommune
Odsherred;Region Sjælland;Odsherred Kommune;Kommune
Ringsted;Region Sjælland;Ringsted Kommune;Kommune
Roskilde;Region Sjælland;Roskilde Kommune;Kommune
Slagelse;Region Sjælland;Slagelse Kommune;Kommune
Solrød;Region Sjælland;Solrød Kommune;Kommune
Sorø;Region Sjælland;Sorø Kommune;Kommune
Stevns;Region Sjælland;Stevns Kommune;Kommune
Vordingborg;Region Sjælland;Vordingborg Kommune;Kommune
Assens;Region Syddanmark;Assens Kommune;Kommune
Billund;Region Syddanmark;Billund Kommune;Kommune
Esbjerg;Region Syddanmark;Esbjerg Kommune;Kommune
Fanø;Region Syddanmark;Fanø Kommune;Kommune
Fredericia;Region Syddanmark;Fredericia Kommune;Kommune
Faaborg-Midtfyn;Region Syddanmark;Faaborg-Midtfyn Kommune;Kommune
Haderslev;Region Syddanmark;Haderslev Kommune;Kommune
Kerteminde;Region Syddanmark;Kerteminde Kommune;Kommune
Kolding;Region Syddanmark;Kolding Kommune;Kommune
Langeland;Region Syddanmark;Langeland Kommune;Kommune
Middelfart;Region Syddanmark;Middelfart Kommune;Kommune
Nordfyns;Region Syddanmark;Nordfyns Kommune;Kommune
Nyborg;Region Syddanmark;Nyborg Kommune;Kommune
Odense;Region Syddanmark;Odense Kommune;Kommune
Svendborg;Region Syddanmark;Svendborg Kommune;Kommune
Sønderborg;Region Syddanmark;Sønderborg Kommune;Kommune
Tønder;Region Syddanmark;Tønder Kommune;Kommune
Varde;Region Syddanmark;Varde Kommune;Kommune
Vejen;Region Syddanmark;Vejen Kommune;Kommune
Vejle;Region Syddanmark;Vejle Kommune;Kommune
Ærø;Region Syddanmark;Ærø Kommune;Kommune
Aabenraa;Region Syddanmark;Aabenraa Kommune;Kommune
Hovedstaden;Region;Region Hovedstaden;Region
Midtjylland;Region;Region Midtjylland;Region
Nordjylland;Region;Region Nordjylland;Region
Sjælland;Region;Region Sjælland;Region
Syddanmark;Region;Region Syddanmark;Region
Kommunale fællesskaber;Kommunale fællesskaber;Kommunale fællesskaber;Kommunale fællesskaber
